Society,event_name,Food available,Alcohol available
SydneyUniversityBusinessSociety,SUBS x SUEUA x SULS Presents: Bubble Soccer,0,0
SydneyUniversityBusinessSociety,Pitch Perfect: A Real Consulting Engagement,0,0
SydneyUniversityBusinessSociety,Chartered Accountants ANZ: Find your Fit,0,0
SydneyUniversityBusinessSociety,SUBS x GT present: Through the Looking Glass (2017 Business Ball),0,1
SydneyUniversityBusinessSociety,Interfaculty Sport: 5km Run,0,0
SydneyUniversityBusinessSociety,JP Morgan x SUBS Presents: Smoothie Giveaway,0,0
SydneyUniversityBusinessSociety,SUBS General Meeting No. 1,0,0
SydneyUniversityBusinessSociety,Interfaculty Sport: Mixed Touch Football,0,0
SydneyUniversityBusinessSociety,SUBS and Chill: Night in,1,1
SydneyUniversityBusinessSociety,SUBS X SU Unimates Presents: The Amazing Race,1,0
SydneyUniversityBusinessSociety,SUBS X Trademax Capital Presents: Forex Live Trading Comp,0,0
SydneyUniversityBusinessSociety,Interfaculty Sport: Men's Basketball,0,0
SydneyUniversityBusinessSociety,Interfaculty Sport: Women's Basketball,0,0
SydneyUniversityBusinessSociety,Interfactulty Sport: Rock Climbing,0,0
SydneyUniversityBusinessSociety,Interfaculty Sport: Badminton,0,0
SydneyUniversityBusinessSociety,SUBS attends: Wear It Purple @USyd,0,1
SydneyUniversityBusinessSociety,SUBS Presents: High Achievers' Breakfast,0,0
SydneyUniversityBusinessSociety,EY x SUBS Presents: EY Case Competition 2017,0,0
SydneyUniversityBusinessSociety,UNSW BSOC x SUBS Presents: Synergy,0,1
SydneyUniversityBusinessSociety,SUBS AGM,0,0
SydneyUniversityBusinessSociety,CEO x SUBS First Years Career Conference,0,0
SydneyUniversityBusinessSociety,EY & SUBS: Making your day better,0,0
SydneyUniversityBusinessSociety,Case Comp Workshop - Project Everest x SUBS,1,0
SydneyUniversityBusinessSociety,SUBS Merchandise Online SALE,0,0
SydneyUniversityBusinessSociety,Heartfulness Meditation: An Introductory Session,0,0
SydneyUniversityBusinessSociety,Interfaculty Pub Crawl,1,1
SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,0,0
SydneyUniversityBusinessSociety,SUBS x Midori present: Boogie Wonderland Cruise - SOLD OUT,1,1
SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,0,0
SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,0,0
SydneyUniversityBusinessSociety,Sydney University Business Society (SUBS) GM,0,0
