,Society,event_name,attendance_count,interested_count,no_reply_count,declined_count,maybe_count,total_invited_count,description,place,city,country,street,zip,latitude,longitude,society_size,Start_time,Date,Campus
0,SydneyUniversityBusinessSociety,SUBS x SUEUA x SULS Presents: Bubble Soccer,67,116,302,0,116,601,"Are you a team player that passes the ball regularly? 

Do you treat opponents and referees with manners and respect?

Are you generally a kind and amiable person that avoids conflict? 
 
If you answered yes to any of these questions, this event is NOT for you.  Welcome to bubble soccer between Business, Engineering and Law, the event where you can charge at people, knock them over and not suffer the repercussions. What better way to introduce some of the new sports committee into their new roles by putting hits on and sending them into the next century. The event will take place on Wednesday morning from 11-1pm. After the overwhelming turnout last Wednesday we'd like to reiterate that this event is for Business, Engineering and Law students only and there will be maximum 14 spots per faculty so it will be first come first serve. 

If you're interested in playing, please fill out the form below:

https://docs.google.com/forms/d/e/1FAIpQLScJWxC3X979OJfobtCuyybfzG0pw2vMb9Si7l5WxLdE5Z-P8w/viewform?usp=sf_link

You may be contacted by one of your faculty's sports reps listed if there are no more spots available 

Business: Nathan Cheung/Maren Giesler
Engineering: James Spinks 
Law: Nick Lehm",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,7003,11:00:00+1100,2017-11-01,0
3,SydneyUniversityBusinessSociety,SUBS x GT present: Through the Looking Glass (2017 Business Ball),509,606,1194,0,606,2915,"✤ SOLD OUT ✤

The future is the present, which will soon be the past,
The 19th of October is almost here at last.
So come get your tickets, they’re sure to fly fast,
And come peer through the SUBS Looking Glass.

The less adventurous few will lay asleep in beds,
As The Red Queen yells “off with their heads!”
Will you be there to rise up and answer the call?
Assemble at Randwick for the marvellous SUBS Ball

The hatter will be there and the white rabbit too
Tonight’s the night to break your curfew.
The tea party is awaiting, so don’t be late...
Time keeps ticking, and we’ll be sure to fascinate. 

SUBS presents the 2017 University of Sydney Business Ball: Through the Looking Glass

♚ ♚ ♚ 

Date: Thursday 19th October, 6:30pm to 11:30pm 
Location: Royal Randwick Racecourse Ballroom
Table size: 10 people per table

To ensure tables and seating arrangements, the first release of tickets will only allow the purchase of a whole table (10 tickets). There will be a cap on the number of tables sold during this release so be ready to purchase! Please allow one person to make the order; you may choose to use the QPAY application to assist in collecting payments between attendees. Tickets may be purchased individually or in smaller groups during the second release. 

Ticket release date: 
✤ 1st Release - 10am Wednesday the 27th of September (can only buy a whole table/10 tickets during this release) 
✤ 2nd Release - 10am Friday the 29th of September (all ticket quantities may be purchased during this release) 

Ticket price: 
Access - $129 + bf
Non-access - $135 + bf

EVERY ticket purchased unlocks: 
✤ Access to the Centennial and Skyline Room for complimentary pre drinks and sunset photos above the racecourse, with city skyline views.
✤ Entry into the Royal Randwick Ballroom with an open terrace overlooking the racecourse.
✤ 5 HOURS of unlimited beverages (sparkling, wine, beer and more) 
✤ An exquisite three course meal 
✤ Photo booths, flower walls, and more magical entertainment 
✤ A huge DF, greased and ready to be boogied on 

♚ ♚ ♚ 

Photography/Videography: House of Cameo (houseofcameo.com)
Dress Code: Formal/Black-Tie

So you bring the Hare, Tweedle dum and the Mad Hatters,
And we'll supply the drinks... we all know what really matters.


♚ ♚ ♚ 

“You’re entirely bonkers. But I’ll tell you a secret, all the best people are.” - Alice in Wonderland

♚ ♚ ♚

Please note that this is an 18+ only event. SUBS supports the responsible service of alcohol. 

If you have any questions, feel free to message the SUBS page

♥ SUBS",Royal Randwick,Randwick,Australia,77 - 97 Alison Road,2031.0,-33.90745175,151.2291501,7003,18:30:00+1100,2017-10-19,0
4,SydneyUniversityBusinessSociety,Interfaculty Sport: 5km Run,35,74,133,0,74,316,"With only a couple of weeks of uni to go, we are nearing the end of the Interfaculty Sports Competition. The last sporting event for the semester is the ever so famous 5km run.

For this event, which you can run, jog or walk, we get 1 point for EVERY SINGLE PERSON THAT PARTICIPATES.

We are calling EVERY SINGLE ONE OF YOU to come down and reinforce our strong position in the 2017 competition. It is our last chance to show the other faculties that SUBS is a force to be reckoned with and to place within the top three. 
Typically Law and Enginerring come out with around 50 runners for this event so we will need you to dust off those running shoes!

Get down there at 2.30pm to be a part of it, as we once again show USYD just who its greatest faculty truly is.

And if that wasnt enough to tempt you to come down and join SUBS for an afternoon of fun ......did we mention the free BBQ and RedBull?",The Grandstand Sydney Uni,Sydney,Australia,Oval No. 1 Blackburn Circ.  Sydney Uni,2006.0,-33.88909,151.18507,7003,14:30:00+1100,2017-10-18,1
8,SydneyUniversityBusinessSociety,SUBS and Chill: Night in,60,131,145,0,131,467,"Sydney University Business Society (SUBS) is teaming up with the team at Airbnb, and chill to bring YOU an exclusive night in - drinks, food, chill and the opportunity to meet the team at one of Sydney's fastest growing startups at one of their prime properties in Newtown.
We are looking for the game changers, the movers and shakers, those who are keen to make a splash in the world and work hard to get there.

❂ ❂ ❂ 

'and chill' is a new property management agency that is changing the way residential real estate is leased. They are an all-hands-on-team with people from top tier management consulting, legal, tech-startup, interior design and digital strategy backgrounds. 

6+ $44k FTE paid & flexible internship opportunities with a fast-growing Airbnb startup are available NOW.

As part of the Startup Internship Program you'll be thrown in the deep-end, taking charge of growing your chosen area of the business. 

We're looking for current students to join the team to make change across five streams:
1. Business Development
2. Marketing & Communications
3. Human Resources & Culture
4. Accounting & Finance
5. Operations & Technology

Get paid for professional work experience alongside your studies. Applications are open now and will be filled ASAP. 

Apply today at http://andchill.property/internship

❂ ❂ ❂ 

Want to be a part of this? Register online here: https://tinyurl.com/SUBSandchill

Note: Only 40 applicants will be selected to attend due to capacity restraints. Successful applicants will be notified by email early next week.",Newtown,Newtown,Australia,,2042.0,-33.897,151.1793,7003,18:00:00+1100,2017-10-05,0
10,SydneyUniversityBusinessSociety,SUBS X Trademax Capital Presents: Forex Live Trading Comp,55,102,123,0,102,382,"SUBS x Trademax Capital presents you with a LIVE trading experience in the real market. Are you interested in trading forex or commodities? Want to try your hand as a broker and score an iPhone X? Keep reading below! 

✤ PRIZES 

1ST PLACE: iPhone X 
2ND PLACE: $800
3RD PLACE: $500
4TH PLACE: $200 Gift Card
5TH PLACE: $100 Gift Card

✤ COMPETITION RULES

The trading experience is as real as it gets! There are no registration fees or invisible charges, with minimum trading volume to be accounted for in the final results are two standard lots (forex and precious metals only). The competition requires a low entry deposit of $200, which you will get back at the end including the profits you make! Are you a beginner? No problem! We have the knowledge and support available to you:
- Daily market reports 
- Daily live streaming market analysis
- Training sessions on Tuesday and Wednesday weekly for all trading levels. 

These are all run by professional analysts and experienced RG146 holders. We note that all training support is provided to participants for free, but are not liabilities of Goldland Capital/Trademax Capital. Some training materials will be in Mandarin only.

Rankings will be based on the accumulative rate of return (high to low) during the competition period. When rate of return is equal, rankings will be based on actual profit (high to low).

✤ SIGN-UP HERE

http://c.xiumi.us/stage/v5/2pQZX/56731172#/
(Or you can scan the QR code if you're feeling fancy)

✤ INFORMATION 

Website Link: https://www.trademax.com.au/

We note that as you are using your own money, any losses will be withdrawn from your $200. This should be difficult though - you have advice from professionals and substantial support at your disposal! 

✤ TIME ZONE

GMT+0, 0:00 - 23:59",University of Sydney - Camperdown Campus,Sydney,Australia,Parramatta Rd,2006.0,-33.888512,151.187479,7003,21:30:00+1000,2017-09-30,1
11,SydneyUniversityBusinessSociety,Interfaculty Sport: Men's Basketball,26,19,68,0,19,132,"Coming up is another round of basketball with this week's sport being men's basketball! With the women's team coming up with a respectable finish last week, placing just outside the top 3, we want to capitalise on this run of form. We are looking to field two teams of 5 with as many as possible on the bench. Message Maren or Nathan if you're interested in playing this week. See you guys Wednesday morning at SUSAC!",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,7003,10:30:00+1000,2017-09-20,0
12,SydneyUniversityBusinessSociety,Interfaculty Sport: Women's Basketball,9,9,98,0,9,125,"This week's interfaculty sport is women's basketball! After being ejected early from badminton in the quarters last week, SUBS plans to bounce back with a win. We are looking for one team this week consisting of a starting 5 with as many as possible on the bench. So if you can knock down stepback fadeaway threes or have watched any of the High School Musical movies, travel down to SUSAC on Wednesday morning. Message Maren or Nathan if you're interested in playing the better version of netball or if you want more bad basketball puns.",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,7003,10:00:00+1000,2017-09-13,0
13,SydneyUniversityBusinessSociety,Interfactulty Sport: Rock Climbing,6,15,71,0,15,107,"Listen up...this week things are going to go down a bit differently.
We are looking for one person to represent SUBS in the Interfaculty rock-climbing Comp this Wednesday.
In addition to the rock-climbing we are looking for two girls and two guys to compete in the interfaculty badminton tournament (also held on Wednesday).  
If you are interested in either, please message Maren Giesler and she will be happy to discuss further details.",The Ledge Climbing Centre,Sydney,Australia,"University of Sydney, Western Ave",2006.0,-33.88753459,151.18635840000005,7003,12:00:00+1000,2017-09-06,1
14,SydneyUniversityBusinessSociety,Interfaculty Sport: Badminton,8,12,61,0,12,93,"Listen up...this week things are going to go down a bit differently.
We are looking for two girls and two guys to represent SUBS in the Interfaculty Badminton tournament this Wednesday.
Experience is not necessarily required but if you have played before or play competitively let us know.
In addition to the Badminton we are looking for another person to compete in the rock-climbing comp  (also held on Wednesday).  
If you are interested in either, please message Maren Giesler and she will be happy to discuss further details.",The Sports Clinic @ Sydney University,Sydney,Australia,Cnr Western Ave & Physics Road University of Sydney NSW 2006,2006.0,-33.88786202,151.1863972,7003,10:00:00+1000,2017-09-06,1
18,SydneyUniversityBusinessSociety,UNSW BSOC x SUBS Presents: Synergy,591,1116,3761,0,1116,6584,"FIRST RELEASE: SOLD OUT
SECOND RELEASE SOLD OUT
THIRD RELEASE: https://tinyurl.com/y7tum2ne

★ ★ ★

Before the start of time, the universe was a dark and desolate wasteland, home to two orbiting planets: one of fire and one of ice. A sudden force sent the two worlds hurtling towards each other, colliding in a supernova of light, sound and energy. When the dust settled and all was still once again, an electrifying rhythm began to fill the void.

It was the start of a new era.

The UNSW Business Society and Sydney University Business Society present to you, the biggest of its kind, a collaborative dance party inviting students from both societies and across all universities. 

★ ★ ★ SYNERGY ★ ★ ★

5 BIG NAME DJs (Top 50 / EDM / House / RnB) 

2 UNIQUE STAGES

1 UNFORGETTABLE NIGHT 

FEATURING:
★ DJ RAVINE
★ RAVE RADIO
★ NASTYBOY
★ HAYDEN CLEARY 
★ KIRKBY

Hosted in the heart of the city at Sydney’s Metro Theatre, brace yourselves for a wild night with hits from your favourite artists and some of the freshest sets from Australia’s up and coming DJ’s. Bring the heat to mainstage or chill to house vibes in the Lair, just don’t miss out on this SYNERGY of sounds, lights and drinks. Save the date for the biggest collab since LV x Supreme and get your tickets soon! 

★ ★ ★ ONLINE TICKET RELEASE ★ ★ ★ 

FIRST RELEASE: SOLD OUT
SECOND RELEASE SOLD OUT
THIRD RELEASE: ON SALE NOW

BUY TICKETS HERE: https://tinyurl.com/y7tum2ne

UNSW Arc $35 
USYD Access $35 
Regular $40 

◈ RAAW Creative Photography

◈ Unlimited access bar 

◈ $5 drinks from 7pm - 8pm

◈ Snapchat Filter 

◈ Free Merchandise (wristbands, glow foam sticks etc.)

Please bring your ticket, ID and/or student ID to show on entry. Arc/Access tickets presented without the relevant student ID will need to pay an additional $10 CASH at the door.


This is an 18+ ONLY event. BSOC and SUBS supports the responsible service of alcohol. 
DISCLAIMER: This is not a rave, go to Defqon if you want lasers and doof doof

Unfortunately we offer no ticket refunds. Please email social@unswbsoc.com or events@subsoc.com.au for any questions or concerns. 

*************************************************************
Stay up to date and like BSOC:
Facebook Page: UNSW Business Society
Facebook Group: https://www.facebook.com/groups/unswbsoc/
Snapchat: unswbsoc

Stay up to date and like SUBS:
Facebook Page: Sydney University Business Society (SUBS)
Facebook Group: https://www.facebook.com/groups/1749145088651287/
Instagram: subsoc
Snapchat: subsoc",The Metro Theatre,Sydney,Australia,624 George Street,2000.0,-33.87576,151.20678,7003,19:00:00+1000,2017-08-17,0
