,Society,event_name,attendance_count,interested_count,no_reply_count,declined_count,maybe_count,total_invited_count,description,start_time,place,city,country,street,zip,latitude,longitude,Sold_Out,Limit
0,SydneyUniversityBusinessSociety,SUBS x SUEUA x SULS Presents: Bubble Soccer,67,116,302,0,116,601,"Are you a team player that passes the ball regularly? 

Do you treat opponents and referees with manners and respect?

Are you generally a kind and amiable person that avoids conflict? 
 
If you answered yes to any of these questions, this event is NOT for you.  Welcome to bubble soccer between Business, Engineering and Law, the event where you can charge at people, knock them over and not suffer the repercussions. What better way to introduce some of the new sports committee into their new roles by putting hits on and sending them into the next century. The event will take place on Wednesday morning from 11-1pm. After the overwhelming turnout last Wednesday we'd like to reiterate that this event is for Business, Engineering and Law students only and there will be maximum 14 spots per faculty so it will be first come first serve. 

If you're interested in playing, please fill out the form below:

https://docs.google.com/forms/d/e/1FAIpQLScJWxC3X979OJfobtCuyybfzG0pw2vMb9Si7l5WxLdE5Z-P8w/viewform?usp=sf_link

You may be contacted by one of your faculty's sports reps listed if there are no more spots available 

Business: Nathan Cheung/Maren Giesler
Engineering: James Spinks 
Law: Nick Lehm",2017-11-01T11:00:00+1100,Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000002,0.0,0.0
1,SydneyUniversityBusinessSociety,Pitch Perfect: A Real Consulting Engagement,40,65,239,0,65,409,"Have you ever wanted to learn what a consultant actually does on the day-to-day ? Would you like to know how to earn money from the notes that you spent hours putting together? Then we will see you at our Consultancy Workshop run by EY Senior Consultant Joel Markoff, who is also now working as a General Manager of an exciting startup - Nexus Notes.
 
Date: 26th of October
Time: 1 - 3 pm
Location: ABS2100
 
REGISTER HERE:
https://docs.google.com/forms/d/e/1FAIpQLSfMQA0THdev5agdY41LBJYdD_p3Qb15Gy63h3l3SOxOHbN-ww/viewform?usp=sf_link

Joel knows consulting. After graduating he spent time with Grant Thornton's Recovery and Reorganisation team, and Deloitte's Strategy and Operations team, before beginning his career at EY in Performance and Improvement Advisory. He is one of EY's best internally-rated consultants, with experience in Education, Construction, Financial Services and Healthcare. He is eager to share the process he pursued in one of his engagements, to give us insight into how great consultants work. His advice will be invaluable to students who want to stand out in their applications to work in financial services.
 
He has paused his career at EY to work as General Manager of Nexus Notes, where he oversees a peer-to-peer marketplace used by ~1.5 million University students across Australia and New Zealand to sell and buy summary notes. It's a profitable startup turning over 150k in revenue per year, with 10K users already on the platform internationally. In 2015, it received seed funding through Australia's leading accelerator 'Startmate' which is backed by Blackbird Ventures. Later in 2015 the founders pitched on SharkTank AU. The venture was co-founded at Sydney University and Sydney remains the largest market to date. Students who have put effort into their notes can make easy money and also benefit from mentoring opportunities, job references and access to exclusive events and networking sessions with access to major commercial and legal firms.
 
Joel will be providing unique end to end insight into how a successful project is run at a consulting firm, by breaking down the process and highlighting the various stages of preparing a deliverable. He will also be highlighting how best to take advantage of great opportunities through Nexus Notes. The workshop will be interactive and audience participation is expected! We look forward to seeing you there!",2017-10-26T13:00:00+1100,ABS2100,,,,,,,0.0,0.0
2,SydneyUniversityBusinessSociety,Chartered Accountants ANZ: Find your Fit,50,55,487,0,55,647,"Business and accounting pathways, which one will set you up for career success?

Business and accounting have many diverse career pathways including forensic, sustainability, government, tax, social, and financial accounting.

As a student, you need to select the right fit for your talent and skill set to ensure a successful career. But how can you select an accounting specialty when you don’t know all the options? 

Chartered Accountants Australia and New Zealand along with FMAA, SUBS, BusinessOne and AAASoc have created Find your Fit to give you an insight into what your future career could look like. 

Hear directly from young professional Chartered Accountants that take on these roles day-to-day, the opportunities and experiences they have had during their careers and also provide insight into why completing the CA Program has helped them. 

Register to attend this information session today to find out which accounting speciality could be the right accounting pathway for you: http://events.charteredaccountantsanz.com/d/rtq832?RefID=SS_eDM",2017-10-24T12:30:00+1100,"The Refectory, Level 5 Abercrombie Business School Building",,,,,,,0.0,0.0
3,SydneyUniversityBusinessSociety,SUBS x GT present: Through the Looking Glass (2017 Business Ball),509,606,1194,0,606,2915,"✤ SOLD OUT ✤

The future is the present, which will soon be the past,
The 19th of October is almost here at last.
So come get your tickets, they’re sure to fly fast,
And come peer through the SUBS Looking Glass.

The less adventurous few will lay asleep in beds,
As The Red Queen yells “off with their heads!”
Will you be there to rise up and answer the call?
Assemble at Randwick for the marvellous SUBS Ball

The hatter will be there and the white rabbit too
Tonight’s the night to break your curfew.
The tea party is awaiting, so don’t be late...
Time keeps ticking, and we’ll be sure to fascinate. 

SUBS presents the 2017 University of Sydney Business Ball: Through the Looking Glass

♚ ♚ ♚ 

Date: Thursday 19th October, 6:30pm to 11:30pm 
Location: Royal Randwick Racecourse Ballroom
Table size: 10 people per table

To ensure tables and seating arrangements, the first release of tickets will only allow the purchase of a whole table (10 tickets). There will be a cap on the number of tables sold during this release so be ready to purchase! Please allow one person to make the order; you may choose to use the QPAY application to assist in collecting payments between attendees. Tickets may be purchased individually or in smaller groups during the second release. 

Ticket release date: 
✤ 1st Release - 10am Wednesday the 27th of September (can only buy a whole table/10 tickets during this release) 
✤ 2nd Release - 10am Friday the 29th of September (all ticket quantities may be purchased during this release) 

Ticket price: 
Access - $129 + bf
Non-access - $135 + bf

EVERY ticket purchased unlocks: 
✤ Access to the Centennial and Skyline Room for complimentary pre drinks and sunset photos above the racecourse, with city skyline views.
✤ Entry into the Royal Randwick Ballroom with an open terrace overlooking the racecourse.
✤ 5 HOURS of unlimited beverages (sparkling, wine, beer and more) 
✤ An exquisite three course meal 
✤ Photo booths, flower walls, and more magical entertainment 
✤ A huge DF, greased and ready to be boogied on 

♚ ♚ ♚ 

Photography/Videography: House of Cameo (houseofcameo.com)
Dress Code: Formal/Black-Tie

So you bring the Hare, Tweedle dum and the Mad Hatters,
And we'll supply the drinks... we all know what really matters.


♚ ♚ ♚ 

“You’re entirely bonkers. But I’ll tell you a secret, all the best people are.” - Alice in Wonderland

♚ ♚ ♚

Please note that this is an 18+ only event. SUBS supports the responsible service of alcohol. 

If you have any questions, feel free to message the SUBS page

♥ SUBS",2017-10-19T18:30:00+1100,Royal Randwick,Randwick,Australia,77 - 97 Alison Road,2031.0,-33.907451750047,151.22915009157,1.0,1.0
4,SydneyUniversityBusinessSociety,Interfaculty Sport: 5km Run,35,74,133,0,74,316,"With only a couple of weeks of uni to go, we are nearing the end of the Interfaculty Sports Competition. The last sporting event for the semester is the ever so famous 5km run.

For this event, which you can run, jog or walk, we get 1 point for EVERY SINGLE PERSON THAT PARTICIPATES.

We are calling EVERY SINGLE ONE OF YOU to come down and reinforce our strong position in the 2017 competition. It is our last chance to show the other faculties that SUBS is a force to be reckoned with and to place within the top three. 
Typically Law and Enginerring come out with around 50 runners for this event so we will need you to dust off those running shoes!

Get down there at 2.30pm to be a part of it, as we once again show USYD just who its greatest faculty truly is.

And if that wasnt enough to tempt you to come down and join SUBS for an afternoon of fun ......did we mention the free BBQ and RedBull?",2017-10-18T14:30:00+1100,The Grandstand Sydney Uni,Sydney,Australia,Oval No. 1 Blackburn Circ.  Sydney Uni,2006.0,-33.88909,151.18507,0.0,0.0
5,SydneyUniversityBusinessSociety,JP Morgan x SUBS Presents: Smoothie Giveaway,103,111,700,0,111,1025,"Want to know what it's like to work at one of the world's leading investment banking institutions WHILST sipping on a smoothie? 
We thought so. 

SUBS presents you with the opportunity to network with 20 representatives from J.P Morgan, discovering more about their upcoming career opportunities. This is a perfect opportunitiy to ask ANY questions to the representatives and gain valuable industry insight. This is a unique opportunity to learn from JP Morgan employees, in a more casual setting than typical networking events. You DO NOT want to miss this event!

Register Here:https://jpmc.recsolucampus.com/exeventreg.php?file=CampusList&event_loc_id=1915&eventid=24918

--- A Message from the J.P Morgan Campus Recruitment Team ---

Where to next with your career?  Stop by the J.P. Morgan Pop-up event on October 12th at University of Sydney between 10am-1pm and refresh with a free smoothie and hear career insights from the J.P. Morgan's team, no matter what degree you're studying.

We look forward to meeting you in person,
The J.P. Morgan Campus Recruitment Team",2017-10-12T10:00:00+1100,Cadigal Lawns,,,,,,,0.0,0.0
6,SydneyUniversityBusinessSociety,SUBS General Meeting No. 1,27,7,15,0,7,56,"Notice is hereby given that the Sydney University Business School Society GM be held at 1800 AEST on Wednesday the 11th of October 2017.

The agenda is as follows:

1.	OPENING AND WELCOME

2.	APOLOGIES AND LEAVES OF ABSENCE

3.	MINUTES OF THE PREVIOUS MEETING

4.	BUSINESS ARISING FROM THE MINUTES

5.	CORRESPONDENCE

6.	CONSTITUTIONAL AMENDMENTS

The following amendments have been proposed to be voted on at the general meeting: 

i)	3.1 Membership of the Society comprises all students undertaking a Business School degree
ii)	4.1 Formal introduction of the following executive roles; Vice President, Marketing Director (Social Media), Past President
iii)	5.16 New clause to be added following 5.15 defining the responsibilities of the Past President
iv)	10.5 The date and time which nominations close, which shall be no later than 72 hours from 24 hours prior to the meeting at which the elections are set to occur
v)	10.7 To stand for election to the position of President, Vice President, Secretary or Treasurer, an Ordinary Member must have served on the executive committee of the Sydney University Business School Society.
vi)	10.8 For all other executive positions, ordinary members may nominate themselves or other ordinary members through the secretary. Nominations close no later than 72 hours from 24 hours prior to the annual general meeting

7.	ELECTION OF THE EXECUTIVES

Nominations will be considered and voted on for the following positions:

i)	1 Publications Director
ii)	1 Marketing Director (Social Media)
iii)	1 Past President

Nominations must follow the procedure as dictated below to be considered valid and are now OPEN.

8.	GENERAL BUSINESS

9.	OTHER BUSINESS

10.	DATE OF THE NEXT MEETING - TBA

11.	CLOSE OF MEETING

-----------------------------------------------------

Please also consider this notice for the election for the positions listed below. Nominations are officially open and will close on 08/10/17 at 1800 AEST sharp, 72 hours prior to the General Meeting. No nominations will be accepted after this time.

All nominations must be sent to secretary@subsoc.com.au and include the student’s Full Name, Access Card Number, Position of Interest, Degree, Year of Degree and SID. Any nominations not submitted with this information will be returned to request the correct information.

PLEASE NOTE: that positions ii), iii) are provisional and cannot be confirmed until the constitutional amendment is passed and approval is received from C&S. Nominations will still be taken for these roles however nominees must understand that they may be terminated under the slight chance that constitutional amendments are not passed or approved. 

All nominees are invited to speak or submit a short paragraph to be read on their behalf if they are unavailable to attend the meeting in person. All nominees must consent to their nomination. This can either be provided to the Secretary directly or on the floor of the GM. If a nominee has not consented to their nomination at the time of the nomination, their nomination will be null and void.

------------------------------------------------------

Note:  If you are an executive member, this meeting is compulsory, please send all apologies to secretary@subsoc.com.au if you are unable to attend.",2017-10-11T18:00:00+1100,ABS2002,,,,,,,0.0,0.0
7,SydneyUniversityBusinessSociety,Interfaculty Sport: Mixed Touch Football,8,18,90,0,18,134,"After two weeks of break, we're back again for another week of interfaculty sport, mixed touch football. SUBS is looking to field one team with as many as possible on the bench so if you reckon you're an untouchable come help SUBS out and give us a try!
If you are interested in playing please message Nathan or Maren.",2017-10-11T10:00:00+1100,The Square,,,,,,,0.0,0.0
8,SydneyUniversityBusinessSociety,SUBS and Chill: Night in,60,131,145,0,131,467,"Sydney University Business Society (SUBS) is teaming up with the team at Airbnb, and chill to bring YOU an exclusive night in - drinks, food, chill and the opportunity to meet the team at one of Sydney's fastest growing startups at one of their prime properties in Newtown.
We are looking for the game changers, the movers and shakers, those who are keen to make a splash in the world and work hard to get there.

❂ ❂ ❂ 

'and chill' is a new property management agency that is changing the way residential real estate is leased. They are an all-hands-on-team with people from top tier management consulting, legal, tech-startup, interior design and digital strategy backgrounds. 

6+ $44k FTE paid & flexible internship opportunities with a fast-growing Airbnb startup are available NOW.

As part of the Startup Internship Program you'll be thrown in the deep-end, taking charge of growing your chosen area of the business. 

We're looking for current students to join the team to make change across five streams:
1. Business Development
2. Marketing & Communications
3. Human Resources & Culture
4. Accounting & Finance
5. Operations & Technology

Get paid for professional work experience alongside your studies. Applications are open now and will be filled ASAP. 

Apply today at http://andchill.property/internship

❂ ❂ ❂ 

Want to be a part of this? Register online here: https://tinyurl.com/SUBSandchill

Note: Only 40 applicants will be selected to attend due to capacity restraints. Successful applicants will be notified by email early next week.",2017-10-05T18:00:00+1100,Newtown,Newtown,Australia,,2042.0,-33.897,151.1793,0.0,0.0
9,SydneyUniversityBusinessSociety,SUBS X SU Unimates Presents: The Amazing Race,26,98,221,0,98,443,"Do YOU love the Amazing Race? Are YOU ready for the ultimate challenge? WELL SUBS and SU Unimates has a treat for you! 

Get ready to form a group of 5-7 people and complete tasks around Sydney. Let your competitive run wild, versing other groups whilst exploring QVB, Town Hall, Royal Botanic Garden, Opera House, The Rocks, Glebe, Newtown, Chinatown, Westfield,  the fish markets and many more of Sydney's sites. and OF COURSE there are many prizes waiting to be won. 

Event Details: 
Please Arrive at Fisher Library at 9AM for a briefing of how the event will be organised. The event will end at Mrs. Macquarie's Chair, Royal Botanic Gardens, 3:30PM 

Price:
Unimate members: Free 
Access Card Holders: $1 
Non-Access: $3 
This will be paid on the day in cash 

Things to bring: 
- Money 
- Comfortable Shoes 
- Snacks 
- Phones 
- Selfie Stick (can be useful) 

Prizes: 
1st - Event Cinema Voucher
2nd - Bondi Pizza Voucher 
3rd - USYD Notebook 

SO SIGN UP NOW! WHAT ARE YOU WAITNG FOR?
https://docs.google.com/forms/d/1cGT4ktk2Y_9BIX-BcG0Jat-f9qeqFTVE6URNc0JfjXE/viewform?edit_requested=true",2017-10-01T09:00:00+1100,Fisher Library - the University of Sydney,Sydney,Australia,,,-33.88670737813,151.19064497294,0.0,0.0
