Society,Facebook Link,Facebook ID,Category
180 Degrees Consulting,https://www.facebook.com/180DegreesSydneyUniversity/,180DegreesSydneyUniversity/,Professional-Development
ALP Club,https://www.facebook.com/usydalpclub,usydalpclub,Political
Agricultural Society,https://www.facebook.com/groups/1486529708235445/,groups/1486529708235445/,Course-Related
Ahlulbayt Society,http://www.facebook.com/ABSoc.Usyd,ABSoc.Usyd,Faith-Religion
Arts and Crafts,https://www.facebook.com/groups/usydcraftsoc/,groups/usydcraftsoc/,Arts
AIESEC in Sydney,https://www.facebook.com/aiesec.sydney,aiesec.sydney,Professional-Development
Arts Revue Society,https://www.facebook.com/pages/Sydney-University-Arts-Revue/313299302061234,usydartsrevue,Revues
AIESEC Sydney,https://www.facebook.com/aiesec.sydney,aiesec.sydney,Ethno-Cultural
Australasian Union of Jewish Students,https://www.facebook.com/AUJSusyd/?fref=ts,AUJSusyd,Faith-Religion
Arabic Languages and Cultures Society,https://www.facebook.com/alacsocietyusyd/,alacsocietyusyd,Ethno-Cultural
Armenian Society,https://www.facebook.com/Sydney-University-Armenian-Society-593670154130843/,hayksoc,Ethno-Cultural
Association of Malaysian Students,http://www.facebook.com/suams.usyd,suams.usyd,Ethno-Cultural
Animal Welfare Society,https://www.facebook.com/groups/usyd.aws/,groups/usyd.aws/,Humanitarian-Community-Aid
Amnesty International Society,https://www.facebook.com/usydamnesty/,usydamnesty,Humanitarian-Community-Aid
Australia China Youth Association,https://www.facebook.com/ACYAUSYD/,ACYAUSYD,Ethno-Cultural
Australia-Chinese Cultural Appreciation Society,https://www.facebook.com/groups/usydchopsticks/,groups/usydchopsticks/,Ethno-Cultural
Accounting & Auditing Society [AAASoc],https://www.facebook.com/aaasocusyd,aaasocusyd,Professional-Development
Australian Chinese International Student Club,http://www.facebook.com/acisc.usyd,acisc.usyd,Ethno-Cultural
Archaeology Society,https://www.facebook.com/groups/archsocusyd/,groups/archsocusyd/,Course-Related
Book Society,https://www.facebook.com/usydbooksoc/,usydbooksoc/,Just-for-fun
BarberSoc University of Sydney A Cappella Society,https://www.facebook.com/barbersocUSYD?fref=ts,barbersocUSYD?,Arts
BusinessOne,https://www.facebook.com/B1Usyd/,B1Usyd/,Professional-Development
"Biomedical Engineers, Association of",http://https://www.facebook.com/SUABE-140592789461797/,SUABE-140592789461797/,Course-Related
Business School Society,www.facebook.com/SydneyUniversityBusinessSociety/home,SydneyUniversityBusinessSociety,Course-Related
Banter and Meme Society,www.facebook.com/banterandmemes,banterandmemes,Just-for-fun
SUBSKI,https://www.facebook.com/subski/,subski,Sports-Recreation
Bushwalkers [SUBW],https://www.facebook.com/suboir/,suboir,Sports-Recreation
Bangladeshi Society,http://https://www.facebook.com/groups/bsa.usyd/,groups/bsa.usyd/,Ethno-Cultural
Baha'i Society,https://www.facebook.com/groups/191294898064/,groups/191294898064/,Faith-Religion
Car Club,https://www.facebook.com/sucarclub/,sucarclub/,Sports-Recreation
Craft Beer Appreciation Society,https://www.facebook.com/HopSoc-156736708194291/,HopSoc,Food-Beverage
Calligraphy Society,http://www.facebook.com/groups/1481001412140145/,groups/1481001412140145/,Just-for-fun
Commerce Revue Society,https://www.facebook.com/commercerevue/?fref=ts,commercerevue,Revues
Cube Society,https://www.facebook.com/groups/1819981931658544/,groups/1819981931658544/,Just-for-fun
Chinese Dance and Musical Instrument Society,https://www.facebook.com/chinesedanceandmusic/,chinesedanceandmusic/,Arts
Catholic Asian Students Society,https://www.facebook.com/usydcasstoby,usydcasstoby,Faith-Religion
Chocolate Society,https://www.facebook.com/groups/usydchocsoc/,groups/usydchocsoc/,Food-Beverage
Chinese Christian Fellowship,https://www.facebook.com/succf,succf,Faith-Religion
Christian Students Uniting,https://www.facebook.com/christianstudentsuniting,christianstudentsuniting,Faith-Religion
Chemical Engineering Society,https://www.facebook.com/groups/SUCES.USYD/,groups/SUCES.USYD/,Course-Related
Chinese Law Students Society,https://www.facebook.com/usydclss,usydclss,Course-Related
Conservatorium Christian Group,https://www.facebook.com/conchristiangroup,conchristiangroup,Faith-Religion
Conservative Club,https://www.facebook.com/pages/The-University-of-Sydney-Conservative-Club/270175596360549,usydconservative,Political
Civil Engineers,www.facebook.com/usydcivilengineers/,usydcivilengineers/,Course-Related
Combined Dentistry Association,https://www.facebook.com/groups/376971522656956/,groups/376971522656956/,Course-Related
China Development Society,https://www.facebook.com/usydcds/,usydcds/,Ethno-Cultural
Consulting Club,https://www.facebook.com/Sydneyconsultingclub/,Sydneyconsultingclub/,Professional-Development
Combined Medicine Association,//facebook.com/USUAccess,USUAccess,Course-Related
Conservatorium Students' Association,https://www.facebook.com/Con-Students-Association-640920456019426/,constudentsassoc,Course-Related
Chinese Culture Society,https://www.facebook.com/USYDCCS,USYDCCS,Ethno-Cultural
Chinese Students Association,http://https://www.facebook.com/SUCSA-365126455769/?fref=ts,SUCSA-365126455769/?fref=ts,Ethno-Cultural
Competitive Online Gaming Society,http://https://www.facebook.com/groups/suscogs/,groups/suscogs/,Just-for-fun
Chess Club,https://www.facebook.com/groups/usydchessclub/,groups/usydchessclub/,Just-for-fun
Crossword Society,https://www.facebook.com/groups/crosssoc/,groups/crosssoc/,Just-for-fun
Chinese Law Students Society,https://www.facebook.com/groups/20627336680/,groups/20627336680/,Course-Related
DJ Society,https://www.facebook.com/DJSOC.USYD/,DJSOC.USYD/,Arts
Dramatic Society,www.facebook.com/SUDSusyd/,SUDSusyd/,Arts
Designers Association (SUDA),https://www.facebook.com/groups/architecture.suda/,groups/architecture.suda/,Course-Related
Disney Appreciation Society,http://www.facebook.com/DisneySocietyUSYD,DisneySocietyUSYD,Just-for-fun
Effective Altruism Society,https://www.facebook.com/EAUSYD/,EAUSYD,Humanitarian-Community-Aid
Engineers without Borders,www.facebook.com/groups/ewbusyd/,groups/ewbusyd/,Humanitarian-Community-Aid
Education and Social Work Revue,https://www.facebook.com/University-of-Sydney-Education-and-Social-Work-Revue-Society-EDSWRS-341998875845614/,University-of-Sydney-Education-and-Social-Work-Revue-Society-EDSWRS-341998875845614/,Revues
Evangelical Union,http://https://www.facebook.com/sydneyunieu/?fref=ts,sydneyunieu/?fref=ts,Faith-Religion
