Society,Facebook_Link,Facebook_ID,Category,Likes
Business School Society,www.facebook.com/SydneyUniversityBusinessSociety/home,SydneyUniversityBusinessSociety,Course-Related,7003
Law Society,http://www.facebook.com/SydneyUniversityLawSociety/?fref=ts,SydneyUniversityLawSociety,Course-Related,6327
SUBSKI,https://www.facebook.com/subski/,subski,Sports-Recreation,5990
Sydney Arts Students Society,https://www.facebook.com/sydneyartssociety,sydneyartssociety,Course-Related,4395
Banter and Meme Society,www.facebook.com/banterandmemes,banterandmemes,Just-for-fun,4299
Fashion and Beauty Society,http://www.facebook.com/fabsoc.sydney,fabsoc.sydney,Just-for-fun,3475
Movement and Dance Society,http://www.facebook.com/madsocusyd/,madsocusyd,Arts,3441
Dramatic Society,www.facebook.com/SUDSusyd/,SUDSusyd,Arts,3179
Financial Management Association of Australia (FMAA),http://https://www.facebook.com/FMAASydney,FMAASydney,Professional-Development,3050
Engineering Undergraduate Association,https://www.facebook.com/SU.Engineers/,SU.Engineers,Course-Related,2718
Marketing Society (SMS),https://www.facebook.com/smsociety,smsociety,Professional-Development,2611
Education and Social Work Society (EDSOC),https://www.facebook.com/USydEDSOC,USydEDSOC,Course-Related,2541
Economics and Econometrics,http://facebook.com/usydecosoc,usydecosoc,Course-Related,2399
Radio Group,https://facebook.com/SURGFM.USYD,SURGFM.USYD,Just-for-fun,2374
The University of Sydney Quidditch Club,https://www.facebook.com/USydQuidditch/,USydQuidditch,Sports-Recreation,2260
Medical Society,https://www.facebook.com/sydneyuniversitymedicalsociety/,sydneyuniversitymedicalsociety,Course-Related,2179
Shades,https://www.facebook.com/sushades/,sushades,Just-for-fun,2169
Science Society,http://www.facebook.com/usydscisoc,usydscisoc,Course-Related,2097
180 Degrees Consulting,https://www.facebook.com/180DegreesSydneyUniversity/,180DegreesSydneyUniversity,Professional-Development,2078
Film Society,http://https://www.facebook.com/Filmsoc.USyd/,Filmsoc.USyd,Just-for-fun,2075
Hong Kong Student Association,https://www.facebook.com/usydhksa/?fref=ts,usydhksa,Ethno-Cultural,2020
Greek Society,https://www.facebook.com/sugsusyd/,sugsusyd,Ethno-Cultural,1985
Photographic Society,https://www.facebook.com/sydneyuniphotosoc/?fref=ts,sydneyuniphotosoc,Just-for-fun,1829
USYD Network for Investing and Trading,https://www.facebook.com/UNITsydney,UNITsydney,Professional-Development,1818
Information Technologies Society,https://www.facebook.com/SUITSUsyd,SUITSUsyd,Course-Related,1815
Liberal Club,https://www.facebook.com/SydneyUniversityLiberalClub?ref=ts&fref=ts,SydneyUniversityLiberalClub,Political,1782
Finance & Banking Society,https://www.facebook.com/finsoc.usyd/,finsoc.usyd,Professional-Development,1759
Network Of Women (NOW),http://www.facebook.com/sydneyuni.now,sydneyuni.now,Professional-Development,1689
Food Co-op,https://www.facebook.com/usydfoodcoop/,usydfoodcoop,Food-Beverage,1661
Association of Malaysian Students,http://www.facebook.com/suams.usyd,suams.usyd,Ethno-Cultural,1653
Jazz Society,https://www.facebook.com/jazzsoc,jazzsoc,Arts,1578
Socialist Alternative Club,https://www.facebook.com/SocialistAltUSyd,SocialistAltUSyd,Political,1572
Ahlulbayt Society,http://www.facebook.com/ABSoc.Usyd,ABSoc.Usyd,Faith-Religion,1514
Polo Society,www.facebook.com/UniversityOfSydneyPolo,UniversityOfSydneyPolo,Sports-Recreation,1491
Musical Theatre Ensemble,https://www.facebook.com/museatusyd/?hc_ref=ARSPtaAAnpCXr6qRYCSoCAVMHfXyEW8Xcf7RH_ax5k7YOFIbAlOrCJkyEKsqJZNAbqM&fref=gs&dti=146450742126688&hc_location=group,museatusyd,Arts,1458
Politics Society,https://www.facebook.com/supoliticssociety?fref=ts,supoliticssociety,Course-Related,1446
Disney Appreciation Society,http://www.facebook.com/DisneySocietyUSYD,DisneySocietyUSYD,Just-for-fun,1404
Ekansh Indian Cultural Society,https://www.facebook.com/Ekansh.USYD/,Ekansh.USYD,Ethno-Cultural,1398
Singapore Students' Society,www.facebook.com/sssusyd,sssusyd,Ethno-Cultural,1367
Symphony Orchestra,http://www.facebook.com/susymphony,susymphony,Arts,1352
Inside Enterprise,https://www.facebook.com/insideenterprisejournal/,insideenterprisejournal,Professional-Development,1268
Australian Chinese International Student Club,http://www.facebook.com/acisc.usyd,acisc.usyd,Ethno-Cultural,1221
Science Revue Society,Facebook.com/sciencerevue,sciencerevue,Revues,1209
International and Global Studies Society,https://www.facebook.com/ingsocusyd,ingsocusyd,Course-Related,1173
Amnesty International Society,https://www.facebook.com/usydamnesty/,usydamnesty,Humanitarian-Community-Aid,1164
Greens on Campus,https://www.facebook.com/usyd.greens,usyd.greens,Political,1145
Accounting & Auditing Society [AAASoc],https://www.facebook.com/aaasocusyd,aaasocusyd,Professional-Development,1133
